"","uid_max","visitor_access_level","total_days","missing","other web sites","search engines","social networks","typed/bookmarked","Purchase.IDs","Referrer.Type","product"
"40","1013636",1,1,0,0,0,0,0,"D5937375","typed/bookmarked","Digital Only"
"41","1013641",0,1,0,0,0,0,0,"D6108880","search engines","Digital Only"
"42","1013832",1,1,0,0,0,0,0,"D6014602","typed/bookmarked","Digital Only"
"43","1013902",1,2,0,0,1,0,0,"D6055641","search engines","Digital Only"
"44","1014030",1,1,0,0,0,0,0,"D6235441","typed/bookmarked","Digital Only"
"45","1014121",1,3,0,0,0,0,2,"D6226826","typed/bookmarked","Digital and Print"
"46","1014141",1,11,2,0,2,0,12,"D6074024","typed/bookmarked","Digital and Print"
"47","1014254",0,1,0,0,0,0,0,"D6224312","typed/bookmarked","Digital Only"
"48","1014265",3,17,0,0,0,0,23,"D6263468","typed/bookmarked","Digital Only"
"49","1014692",1,1,0,0,0,0,0,"D6108776","typed/bookmarked","Digital Only"
"50","1014735",1,1,0,0,0,0,0,"D6234798","typed/bookmarked","Digital Only"
"51","1014788082766432384_3356753890256463811",1,1,0,0,0,0,0,"D6234973","typed/bookmarked","Digital Only"
"52","1014830",1,1,0,0,0,0,0,"D6095397","typed/bookmarked","Digital Only"
"53","1014879",0,1,0,0,0,0,0,"D6028086","search engines","Digital Only"
"54","1015298",1,1,0,0,0,0,0,"D6041887","typed/bookmarked","Digital Only"
"55","1015536",1,1,0,0,0,0,0,"D6001504","typed/bookmarked","Digital Only"
"56","1015572",1,1,0,0,0,0,1,"D6065931","search engines","Digital Only"
"57","1015772",3,11,0,0,0,0,10,"D6294560","typed/bookmarked","Digital and Print"
"58","1015808",1,10,4,0,3,1,8,"D6258611","search engines","Digital Only"
"59","1015896",1,1,0,0,0,0,1,"D6046505","social networks","Digital Only"
"60","1016091",3,1,0,0,0,0,0,"D6263053","typed/bookmarked","Health Pulse"
"61","1016178",3,40,0,0,0,0,42,"D6246356","typed/bookmarked","Health Pulse"
"62","1016331",0,1,0,0,0,0,0,"D5939985","typed/bookmarked","Digital Only"
"63","1016392",3,2,0,0,1,0,4,"D6075844","search engines","Digital Only"
"64","1016781",1,1,0,0,0,0,1,"D6345502","search engines","Digital Only"
"65","1017065",3,12,0,6,7,0,2,"D6270092","search engines","Digital Only"
"66","1017112",3,24,4,0,2,9,17,"D6313202","typed/bookmarked","Digital Only"
"67","1017166",3,2,1,0,1,0,0,"D6306351","typed/bookmarked","Health Pulse"
"68","1017197",0,1,0,0,0,0,0,"D5939812","search engines","Digital and Print"
"69","1017414",1,1,0,0,0,0,0,"D6265152","search engines","Digital Only"
"70","1018067",3,18,4,0,1,6,10,"D6273692","typed/bookmarked","Digital Only"
"71","1018369",0,1,0,0,0,0,0,"D5937980","typed/bookmarked","Digital Only"
"72","1018551",3,1,0,0,0,0,0,"D6270703","typed/bookmarked","Print Only"
"73","1018616",1,1,0,0,0,0,0,"D6001175","social networks","Digital Only"
"74","1018889",3,1,0,0,1,0,0,"D6030707","typed/bookmarked","Digital and Print"
"75","1019001",3,4,0,0,0,0,3,"D6295947","typed/bookmarked","Print Only"
"76","1019083",0,1,0,0,0,0,0,"D5937848","typed/bookmarked","Print Only"
"77","1019253",3,5,0,0,2,1,1,"D6284037","typed/bookmarked","Digital Only"
"78","1019414",1,1,0,0,0,0,0,"D6056979","search engines","Digital Only"
"79","1019544",3,4,0,1,0,0,2,"D6226999","search engines","Digital Only"
"80","1019748",3,2,0,0,1,0,2,"D6003026","typed/bookmarked","Digital Only"
"81","1020009",1,1,0,0,0,0,0,"D6313602","typed/bookmarked","Digital Only"
"82","1020184",3,2,0,0,0,0,3,"D6020752","typed/bookmarked","Health Pulse"
"83","1020265",1,1,0,0,0,0,0,"D6154615","typed/bookmarked","Digital Only"
"84","1020341",0,1,0,0,0,0,0,"D6076067","missing","Health Pulse"
"85","1020702438928685244_5526958022421260243",0,1,0,0,0,0,0,"D6026997","typed/bookmarked","Digital Only"
"86","1020863",3,1,0,0,0,0,0,"D6161341","typed/bookmarked","Digital Only"
"87","1020964",1,1,0,0,0,0,0,"D6225823","typed/bookmarked","Digital and Print"
"88","1021072",3,3,0,0,0,0,2,"D5937073","typed/bookmarked","Digital and Print"
"89","1021126",1,1,0,0,1,0,1,"D6227756","other web sites","Digital Only"
"90","1021173",3,5,0,0,0,0,4,"D6273700","typed/bookmarked","Print Only"
"91","1021186",1,2,0,0,0,0,1,"D5948641","typed/bookmarked","Digital and Print"
"92","1021367",1,1,0,0,0,0,0,"D6076496","typed/bookmarked","Digital Only"
"93","1021450",1,1,0,0,0,0,0,"D6108366","typed/bookmarked","Health Pulse"
"94","1021469",1,1,0,0,0,0,0,"D6335230","other web sites","Digital Only"
"95","1024091",1,1,0,0,0,0,0,"D6233692","search engines","Digital Only"
"96","1024160",0,1,0,0,0,0,0,"D5936375","missing","Digital and Print"
"97","1024844",0,1,0,0,0,0,0,"D6233599","typed/bookmarked","Digital and Print"
"98","1025215",1,3,0,0,1,0,2,"D6297338","search engines","Digital Only"
"99","1025605",3,18,0,0,16,0,12,"D6309143","search engines","Digital Only"
"100","1025879",3,11,1,3,1,1,11,"D6043848","typed/bookmarked","Digital Only"
"101","1025979",3,9,0,0,1,2,6,"D6270403","missing","Digital and Print"
"102","1026151",3,21,0,0,1,20,0,"D6320582","social networks","Health Pulse"
"103","1026239",1,3,0,0,0,1,2,"D6307898","missing","Digital Only"
"104","1026326",3,5,0,0,0,1,6,"D5948446","typed/bookmarked","Digital and Print"
"105","1026513",3,10,0,0,0,0,9,"D6295157","typed/bookmarked","Digital Only"
"106","1026556",3,3,0,0,0,0,2,"D6164300","typed/bookmarked","Print Only"
"107","1026724",0,1,0,0,0,0,0,"D6026612","social networks","Digital Only"
"108","1027396",3,12,0,1,0,0,16,"D6227270","typed/bookmarked","Digital Only"
"109","1027469",1,1,0,0,0,0,0,"D5949035","typed/bookmarked","Digital Only"
"110","1027550",3,18,2,0,0,0,18,"D6347205","other web sites","Digital Only"
"111","1027749",1,1,0,0,0,0,0,"D6296508","search engines","Digital Only"
"112","1027940",1,3,0,1,0,0,1,"D6334362","typed/bookmarked","Digital Only"
"113","1028204",0,1,0,0,0,0,1,"D5924279","search engines","Digital Only"
"114","1028217",1,1,0,0,0,0,0,"D5916845","other web sites","Digital Only"
"115","1028513",1,1,0,0,0,0,1,"D6042852","missing","Digital Only"
"116","1028645",1,2,0,0,0,0,2,"D6089849","typed/bookmarked","Digital Only"
"117","1029017",3,2,0,0,0,0,1,"D6029691","search engines","Digital Only"
"118","1029279",3,12,0,0,1,0,12,"D6165856","typed/bookmarked","Digital Only"
"119","1029399",1,1,0,0,0,0,0,"D6309506","social networks","Health Pulse"
"120","1029512",1,3,0,0,0,0,2,"D6246271","typed/bookmarked","Digital Only"
"121","1029616",3,5,0,0,0,1,4,"D6296547","typed/bookmarked","Digital Only"
"122","1029651",1,1,0,0,0,0,0,"D6074040","other web sites","Digital Only"
"123","1030048",3,50,1,0,1,0,72,"D6284432","typed/bookmarked","Digital Only"
"124","1030234",1,1,0,0,0,0,0,"D6066947","typed/bookmarked","Digital Only"
"125","1030325",0,1,0,0,0,0,0,"D6026708","typed/bookmarked","Digital Only"
"126","1030327",1,2,0,0,1,0,0,"D6284006","search engines","Digital Only"
"127","1030435",0,1,0,0,0,0,0,"D6075659","typed/bookmarked","Health Pulse"
"128","1031300",3,2,0,0,0,0,1,"D6090360","search engines","Digital Only"
"129","1031691",1,1,0,0,0,0,1,"D6250727","social networks","Digital Only"
"130","1031805",1,1,0,0,0,0,0,"D5939011","typed/bookmarked","Digital Only"
"131","1031813",1,2,0,2,0,0,1,"D6296179","missing","Digital Only"
"132","1031946",3,7,0,1,0,1,7,"D6040722","typed/bookmarked","Health Pulse"
"133","1032112",3,16,0,15,1,0,3,"D6273788","other web sites","Digital Only"
"134","1032151",1,1,0,0,0,0,0,"D6171131","typed/bookmarked","Digital Only"
"135","1032341",3,10,0,1,0,0,11,"D6029462","typed/bookmarked","Digital Only"
"136","1032343",1,1,0,0,0,0,0,"D6269536","typed/bookmarked","Digital Only"
"137","1032438",1,17,5,2,27,0,31,"D6064384","missing","Digital Only"
"138","1032563",3,35,32,1,1,0,26,"D6246915","typed/bookmarked","Digital Only"
"139","1032703",3,16,0,0,0,0,17,"D6224313","typed/bookmarked","Digital Only"
"140","1032760",3,23,5,3,10,0,24,"D6329294","typed/bookmarked","Digital Only"
"141","103282",1,1,0,0,0,0,0,"D6108969","typed/bookmarked","Digital and Print"
"142","1032844",0,1,0,0,0,0,0,"D6258422","search engines","Digital Only"
"143","1032958",3,3,0,0,2,0,0,"D6055966","typed/bookmarked","Digital Only"
"144","1033453",3,4,0,0,1,0,4,"D6026476","typed/bookmarked","Health Pulse"
"145","1033508",3,12,7,0,1,0,23,"D6103172","typed/bookmarked","Digital Only"
"146","1035269",1,5,0,0,0,0,5,"D6072971","typed/bookmarked","Digital Only"
"147","1036106",0,1,0,0,0,0,0,"D6089492","missing","Digital Only"
"148","1037769",1,1,0,0,0,0,0,"D6265144","search engines","Digital Only"
"149","1038661",3,10,0,0,4,0,6,"D6259238","search engines","Digital Only"
"150","1041358",1,1,0,0,0,0,0,"D6204643","typed/bookmarked","Digital and Print"
"151","1042059",0,1,0,0,0,0,0,"D5939938","typed/bookmarked","Health Pulse"
"152","1042228",1,1,0,0,0,0,1,"D6109855","missing","Digital Only"
"153","1042238",1,19,0,0,1,20,0,"D6274674","social networks","Digital Only"
"154","1042374",1,2,0,0,0,0,1,"D6001283","typed/bookmarked","Digital Only"
"155","1042458",3,16,2,0,0,0,27,"D6056335","typed/bookmarked","Digital and Print"
"156","1042585",1,1,0,0,0,0,0,"D6003811","search engines","Digital Only"
"157","1042796",1,3,0,0,1,0,1,"D6030453","search engines","Digital and Print"
"158","1042961",3,17,0,0,0,0,18,"D6270570","typed/bookmarked","Digital Only"
"159","1043635",0,1,0,0,0,0,0,"D6029885","typed/bookmarked","Digital Only"
"160","1044615",0,1,0,0,0,0,0,"D6323548","search engines","Digital Only"
"161","1044748",1,1,0,0,0,0,0,"D6003920","search engines","Digital and Print"
"162","1044940",1,1,0,0,0,0,0,"D6154469","search engines","Digital Only"
"163","1045136",1,1,0,0,0,0,0,"D6334302","search engines","Digital Only"
"164","1046951848681624309_6271407140853299486",0,2,0,0,1,0,0,"D6314929","missing","Health Pulse"
"165","1053875",1,4,0,2,1,0,1,"D6274454","typed/bookmarked","Digital Only"
"166","1054375",3,6,0,0,0,0,9,"D6271303","search engines","Digital Only"
"167","1054438",3,5,0,0,2,0,3,"D6104540","search engines","Digital Only"
"168","1054870",3,12,0,0,1,2,8,"D6314991","typed/bookmarked","Digital Only"
"169","1054924",3,2,0,0,1,0,1,"D6305582","typed/bookmarked","Digital and Print"
"170","1055006",1,6,0,0,0,0,7,"D6286632","typed/bookmarked","Digital Only"
"171","1055063",3,2,0,0,0,1,0,"D6296454","search engines","Digital Only"
"172","1055201",0,1,0,0,0,0,0,"D6072737","typed/bookmarked","Health Pulse"
"173","1055235",1,6,0,0,0,5,0,"D6095980","social networks","Digital Only"
"174","1055247",1,1,0,0,0,0,0,"D6314185","other web sites","Digital Only"
"175","1055273",1,4,0,0,1,3,0,"D6308417","social networks","Digital and Print"
"176","1055448",1,1,0,0,0,0,0,"D6102333","social networks","Digital Only"
"177","1062151795946349267_2193986889745353919",0,1,0,0,0,0,0,"D6029449","missing","Health Pulse"
"178","1062897",1,1,0,0,0,0,0,"D6246793","typed/bookmarked","Digital Only"
"179","1063160",1,3,0,0,0,0,3,"D6234936","typed/bookmarked","Digital Only"
"180","1064990",0,1,0,0,0,0,0,"D6076019","search engines","Digital Only"
"181","1065206",0,1,0,0,0,0,0,"D6026622","search engines","Digital Only"
"182","1065268",3,17,2,0,1,0,19,"D6295940","typed/bookmarked","Digital Only"
"183","1065627",3,2,0,0,1,0,0,"D6042072","search engines","Digital Only"
"184","1065776",0,1,0,0,0,0,0,"D6066666","search engines","Health Pulse"
"185","1065888",1,2,0,0,0,0,1,"D6312899","typed/bookmarked","Digital Only"
"186","1065969",3,7,0,0,3,0,3,"D6270157","typed/bookmarked","Digital Only"
"187","1066267",0,1,0,0,0,0,0,"D5938238","typed/bookmarked","Digital Only"
"188","1066288",1,1,0,0,0,0,0,"D6057289","search engines","Digital Only"
"189","1066318",0,1,0,0,0,0,0,"D6003181","search engines","Digital Only"
"190","1066708",0,1,0,0,0,0,0,"D6043539","search engines","Digital Only"
"191","1066711",3,3,0,0,0,0,2,"D6308416","typed/bookmarked","Health Pulse"
"192","1066716",3,12,5,4,1,0,7,"D6089219","typed/bookmarked","Digital Only"
"193","1067183",1,2,0,0,0,0,1,"D6263077","typed/bookmarked","Digital Only"
"194","1067260",3,7,1,0,0,0,7,"D6309492","typed/bookmarked","Digital Only"
"195","1067325",1,1,0,0,0,0,0,"D6001520","search engines","Digital Only"
"196","1067354",3,7,2,3,2,0,5,"D6043220","missing","Digital Only"
"197","1067480",0,1,0,0,0,0,0,"D6287774","missing","Digital Only"
"198","1068080",3,7,0,0,0,0,10,"D6057728","typed/bookmarked","Digital Only"
"199","1068116",3,1,0,0,0,0,0,"D6306514","typed/bookmarked","Digital Only"
"200","1068353",0,1,0,0,0,0,0,"D6176003","social networks","Digital Only"
"201","1068564",3,21,1,0,1,0,19,"D6109867","search engines","Digital and Print"
"202","1068590",1,2,0,0,0,0,2,"D5940310","search engines","Digital Only"
"203","1068822",3,8,0,7,1,0,9,"D6154251","missing","Digital Only"
"204","1068948",0,1,0,0,0,0,0,"D6269416","social networks","Digital Only"
"205","1069026",3,39,0,0,0,0,48,"D6334130","typed/bookmarked","Digital and Print"
"206","1069329",1,1,0,0,0,0,2,"D5924953","typed/bookmarked","Digital Only"
"207","1069508",1,1,0,0,0,0,0,"D5924979","typed/bookmarked","Health Pulse"
"208","1069570",1,1,0,0,0,0,0,"D6088813","typed/bookmarked","Digital Only"
"209","1069765",3,1,0,0,0,0,0,"D6263038","typed/bookmarked","Digital Only"
"210","1069834",3,6,0,0,0,0,6,"D6313569","missing","Digital Only"
"211","1069859",1,1,0,0,0,0,0,"D6075254","search engines","Digital Only"
"212","1070078",1,1,0,0,0,0,0,"D5948515","search engines","Digital Only"
"213","1070389",0,1,0,0,0,0,0,"D5940129","typed/bookmarked","Digital and Print"
"214","1070415",3,3,0,0,0,0,2,"D6270239","typed/bookmarked","Print Only"
"215","1070434",3,56,0,0,1,1,100,"D6283723","typed/bookmarked","Digital Only"
"216","1070893",3,9,0,0,1,0,7,"D6322102","typed/bookmarked","Digital Only"
"217","1071043",3,51,0,0,2,0,82,"D6314474","typed/bookmarked","Digital Only"
"218","1071510",0,1,0,0,0,0,0,"D6274517","search engines","Digital Only"
"219","1071594",1,2,0,0,1,0,1,"D6079229","social networks","Digital Only"
"220","1071635",0,1,0,0,0,0,0,"D5939256","typed/bookmarked","Digital Only"
"221","1071641",3,10,0,0,0,0,14,"D6233796","typed/bookmarked","Digital Only"
"222","1071816",3,1,0,0,0,0,2,"D6026700","search engines","Digital Only"
"223","1071869",0,1,0,0,0,0,0,"D6064709","missing","Digital Only"
"224","1071945",3,26,0,0,2,0,28,"D6329220","typed/bookmarked","Digital Only"
"225","1072108",1,1,0,0,0,0,0,"D6042803","search engines","Digital Only"
"226","1072991",0,1,0,0,0,0,0,"D6320511","typed/bookmarked","Health Pulse"
"227","1073202",1,4,0,0,0,0,3,"D6286616","typed/bookmarked","Digital Only"
"228","1073265",1,1,0,0,0,0,0,"D6226709","search engines","Digital Only"
"229","1073564",1,1,0,0,0,0,0,"D6216851","typed/bookmarked","Digital Only"
"230","1073657",1,15,0,0,0,0,17,"D6259055","typed/bookmarked","Health Pulse"
"231","1073927",1,8,0,0,0,0,9,"D6335223","typed/bookmarked","Digital Only"
"232","1074148",1,1,0,0,0,0,0,"D6183392","search engines","Digital Only"
"233","1074181",1,2,0,0,0,1,0,"D6322342","typed/bookmarked","Digital Only"
"234","1074242",3,2,0,0,0,0,2,"D6001161","typed/bookmarked","Digital Only"
"235","1074268",0,1,0,0,0,0,0,"D6161662","typed/bookmarked","Digital Only"
"236","1074448",1,2,0,0,0,0,2,"D6226600","typed/bookmarked","Digital Only"
"237","1074726",1,3,0,0,0,0,4,"D6056929","typed/bookmarked","Digital Only"
"238","1075057",0,1,0,0,0,0,1,"D6174403","search engines","Digital Only"
"239","1075091",1,1,0,0,0,0,0,"D5924700","search engines","Digital Only"
"240","1075181656472504509_2451790788273557193",0,2,0,0,0,0,1,"D6057442","missing","Digital Only"
"241","1075262",0,1,0,0,0,0,0,"D6309164","typed/bookmarked","Digital and Print"
"242","1075325",3,1,0,0,0,0,0,"D5948327","typed/bookmarked","Digital Only"
"243","1075351",1,1,0,0,0,0,0,"D6314135","typed/bookmarked","Digital Only"
"244","1076434",3,3,0,0,0,0,2,"D6020826","typed/bookmarked","Digital Only"
"245","1076536",0,1,0,0,0,0,0,"D6030374","typed/bookmarked","Digital and Print"
"246","1076542",1,1,0,0,0,0,0,"D6263806","search engines","Digital Only"
"247","1076685",1,1,0,0,0,0,1,"D5997676","other web sites","Digital Only"
"248","1076705",1,1,0,0,0,0,0,"D6056491","typed/bookmarked","Digital Only"
"249","1077137",1,2,0,0,0,0,2,"D5940587","search engines","Digital and Print"
"250","1077229",3,8,0,0,1,0,9,"D6102747","typed/bookmarked","Digital Only"
"251","1077448",3,7,0,0,0,1,7,"D6263729","typed/bookmarked","Digital Only"
"252","1077826",1,1,0,0,0,0,0,"D6001573","typed/bookmarked","Digital Only"
"253","1077889",1,3,0,0,0,0,3,"D5949187","typed/bookmarked","Digital Only"
"254","1078092",0,1,0,0,0,0,0,"D6309218","search engines","Health Pulse"
"255","1078110",1,1,0,0,0,0,0,"D6030090","typed/bookmarked","Digital Only"
"256","1078248",3,18,2,0,1,0,19,"D6076075","typed/bookmarked","Digital Only"
"257","1078440",1,2,0,0,0,0,2,"D6328956","typed/bookmarked","Digital Only"
"258","1078441",1,2,0,0,0,0,1,"D6295637","typed/bookmarked","Digital Only"
"259","1078460",3,16,1,1,2,19,1,"D6329675","social networks","Digital Only"
"260","1078678",0,1,0,0,0,0,0,"D6282134","typed/bookmarked","Health Pulse"
"261","1078695",1,10,0,0,0,0,10,"D6313561","missing","Digital Only"
"262","1078869",3,17,0,1,0,0,17,"D6088870","typed/bookmarked","Digital Only"
"263","1079003",1,1,0,0,0,0,0,"D6014557","typed/bookmarked","Digital Only"
"264","1079634",0,2,0,0,1,0,0,"D6322213","search engines","Digital Only"
"265","1079821",3,33,0,0,10,0,44,"D6154220","typed/bookmarked","Digital Only"
"266","1079836",1,1,0,0,0,0,0,"D6305560","typed/bookmarked","Digital Only"
"267","1079863",0,1,0,0,0,0,0,"D6226848","typed/bookmarked","Digital Only"
"268","1079864911676039977_4945235713366480802",0,1,0,0,0,0,0,"D6095999","typed/bookmarked","Digital Only"
"269","1079979",3,5,1,2,2,0,2,"D6345492","search engines","Health Pulse"
"270","1080013",0,1,0,0,0,0,0,"D6102291","typed/bookmarked","Digital Only"
"271","1080086",1,1,0,0,0,0,0,"D5924668","search engines","Digital Only"
"272","1080149",3,7,0,0,0,0,7,"D6315011","search engines","Digital Only"
"273","1080210",0,1,0,0,0,0,0,"D6003893","search engines","Digital Only"
"274","1080211",1,1,0,0,0,0,0,"D6103631","typed/bookmarked","Digital Only"
"275","1080438",3,1,0,0,1,0,0,"D6073203","search engines","Digital Only"
"276","1080439",1,2,0,0,1,0,0,"D6029741","missing","Digital Only"
"277","1080510",1,2,0,0,2,0,0,"D6073135","search engines","Digital Only"
"278","1080628",1,1,0,0,0,0,0,"D6223929","typed/bookmarked","Digital Only"
"279","1080647",1,1,0,0,0,0,0,"D6027728","typed/bookmarked","Digital Only"
"280","1081418",0,1,0,0,0,0,1,"D6260816","search engines","Digital Only"
"281","1081847",3,6,0,0,6,2,0,"D6072801","search engines","Digital Only"
"282","1081920",1,5,0,0,0,0,4,"D6325132","typed/bookmarked","Digital Only"
"283","1081948",3,2,0,3,0,0,0,"D5938290","search engines","Digital and Print"
"284","1081965",0,1,0,0,1,0,0,"D5939361","other web sites","Digital Only"
"285","1082258",1,2,0,0,0,0,1,"D6233795","typed/bookmarked","Digital Only"
"286","1082633",1,1,1,0,0,0,0,"D6274930","other web sites","Digital Only"
"287","1082761",1,4,0,0,0,0,3,"D5941390","typed/bookmarked","Digital Only"
"288","1082990",1,1,0,0,0,0,0,"D6030607","missing","Digital Only"
"289","1083203",0,2,0,0,0,0,2,"D6313982","typed/bookmarked","Digital and Print"
"290","1083854",3,7,0,0,1,0,10,"D6295035","search engines","Digital Only"
"291","1084497",0,1,0,0,0,0,0,"D6089253","typed/bookmarked","Digital Only"
"292","1084783",0,1,0,0,0,0,0,"D6043236","social networks","Digital and Print"
"293","1085109",0,1,0,0,0,0,0,"D6103433","typed/bookmarked","Digital and Print"
"294","1085438",1,1,0,0,0,0,0,"D5938270","search engines","Digital Only"
"295","1085839",0,1,0,0,0,0,0,"D6274719","missing","Health Pulse"
"296","1085893",3,1,0,0,0,0,1,"D6021130","social networks","Digital Only"
"297","1086301",1,1,0,0,0,0,0,"D6260879","search engines","Digital Only"
"298","1086646",1,10,0,0,0,1,8,"D6090242","typed/bookmarked","Digital Only"
"299","1086650",1,1,0,0,0,0,0,"D6333961","typed/bookmarked","Digital Only"
"300","1086795",1,1,0,0,0,0,0,"D6195566","typed/bookmarked","Digital Only"
"301","1086807",0,1,0,0,0,0,0,"D6308472","typed/bookmarked","Digital and Print"
"302","1086900",3,1,0,0,0,0,0,"D6226462","typed/bookmarked","Digital Only"
"303","1087002",0,1,0,0,0,0,0,"D5939317","social networks","Digital Only"
"304","1087027",0,1,0,0,0,0,0,"D6308530","missing","Digital Only"
"305","1087036",0,1,0,0,0,0,0,"D6314596","typed/bookmarked","Digital Only"
"306","1087181",3,1,0,0,1,0,0,"D6031353","other web sites","Digital Only"
"307","1087315",1,1,0,0,0,0,1,"D6103147","typed/bookmarked","Digital Only"
"308","1087324",1,7,0,0,0,0,6,"D6308339","typed/bookmarked","Digital Only"
"309","1087400",3,1,0,0,1,0,2,"D6002886","search engines","Digital Only"
"310","1087544",3,1,0,0,0,0,0,"D6030763","typed/bookmarked","Digital Only"
"311","1087549",1,5,0,2,0,0,9,"D5940124","typed/bookmarked","Digital Only"
"312","1087673",1,1,0,0,0,0,1,"D6043178","typed/bookmarked","Digital and Print"
"313","1087699",0,1,0,0,0,0,0,"D6308477","typed/bookmarked","Digital Only"
"314","1087739",3,4,0,0,0,0,5,"D6108016","typed/bookmarked","Health Pulse"
"315","1088168",1,1,0,0,0,0,0,"D6014597","typed/bookmarked","Digital Only"
"316","1088233",1,4,0,0,1,0,4,"D6165748","search engines","Digital Only"
"317","1088267",1,4,0,0,1,0,2,"D6043632","typed/bookmarked","Digital Only"
"318","1088315",3,8,1,0,3,3,2,"D6227038","social networks","Digital Only"
"319","1088426",3,9,0,0,6,0,4,"D6296004","search engines","Health Pulse"
"320","1088469131222137855_6391135302922642921",0,1,0,0,0,0,0,"D6313399","typed/bookmarked","Print Only"
"321","1088668",1,1,0,1,1,1,0,"D6021106","search engines","Digital Only"
"322","1088892",1,1,0,0,0,0,0,"D5924803","typed/bookmarked","Digital Only"
"323","1088937",1,5,0,0,2,1,1,"D6003976","other web sites","Digital Only"
"324","1089400",0,6,0,0,0,0,5,"D6075842","typed/bookmarked","Digital Only"
"325","1089724",3,12,0,0,0,0,13,"D6312876","typed/bookmarked","Digital Only"
"326","1090012170915303723_7219044399086622583",0,6,0,0,0,0,5,"D6270714","typed/bookmarked","Print Only"
"327","1090017",1,3,0,0,0,0,2,"D6064794","typed/bookmarked","Digital Only"
"328","1090103",1,8,0,0,0,0,11,"D6056458","typed/bookmarked","Digital Only"
"329","1090207",3,1,0,0,0,0,0,"D6274383","typed/bookmarked","Digital Only"
"330","1090737",3,2,0,0,0,0,2,"D5923941","typed/bookmarked","Digital Only"
"331","1090804",3,1,0,0,0,0,0,"D5938223","search engines","Digital and Print"
"332","1090846195467480980_2313724076140018385",0,1,0,0,0,0,0,"D6161769","typed/bookmarked","Print Only"
"333","1090879",1,7,2,4,0,0,2,"D6066033","typed/bookmarked","Digital Only"
"334","109098833166135246_1575176287921518453",0,1,0,0,0,0,0,"D6308159","typed/bookmarked","Digital Only"
